,precision,recall,f1-score,support
LOC,0.9353202282815473,0.8842925659472423,0.9090909090909091,1668.0
MISC,0.7789317507418397,0.7478632478632479,0.7630813953488371,702.0
ORG,0.8870266914959652,0.8603251053582179,0.8734718826405868,1661.0
PER,0.9699103713188221,0.9369202226345084,0.9531299150676315,1617.0
micro avg,0.911504424778761,0.8753541076487252,0.8930635838150289,5648.0
macro avg,0.8927972604595436,0.857350285450804,0.8746935255369911,5648.0
weighted avg,0.9115829735821045,0.8753541076487252,0.8930762474555408,5648.0
