,precision,recall,f1-score,support
LOC,0.7105398457583547,0.8285371702637889,0.765015222806532,1668.0
MISC,0.015262860373092142,0.07692307692307693,0.02547169811320755,702.0
ORG,0.36901913875598086,0.37146297411198076,0.3702370237023702,1661.0
PER,0.8375886524822695,0.730364873222016,0.7803105384869508,1617.0
micro avg,0.3775831873905429,0.5725920679886686,0.4550763385632871,5648.0
macro avg,0.4831026243424243,0.5018220236302157,0.4852586207772651,5648.0
weighted avg,0.560059601849214,0.5725920679886686,0.5613761262074722,5648.0
